,MSE,MAE,RMSE,MAPE,R2,TrainTimeSec,InferTimeSec,TrainableParams,StoredParams,ModelSizeMB,Epochs,best_val_mae,MAE_TrainCost,ParamEff,ESP_Guarantee
ICS-DGRN,1181.98,22.2977,34.38,297434,0.943147,118.991,0.657594,117567,117567,0.448483,20,0.156162,2653.21,7645.43,1
STGCN,1232.99,22.6077,35.114,426108,0.940693,20.8569,0.06018,25740,25740,0.0981903,20,0.155832,471.525,3627.1,0
TGCN,3885.82,40.3915,62.3364,1.32733e+06,0.813093,10.7682,0.0723395,3564,3564,0.0135956,20,0.273956,434.946,2411.34,0
GWNet,1305.99,23.6256,36.1385,455182,0.937182,15.3917,0.0797279,12876,12876,0.049118,20,0.161888,363.638,2680.86,0
AGCRN,1289.37,23.5417,35.9078,479234,0.937982,7.65376,0.0378664,4156,4156,0.0158539,20,0.161098,180.183,1517.66,0
