epoch,train_loss,val_loss,train_mae,val_mae,lr,loss
1,0.3315553539991379,0.19338602284590403,0.6942328882217407,0.48843413511912026,0.0009939057285945933,smooth_l1
2,0.11507187336683274,0.07872360388437907,0.35950680017471315,0.28761391162872313,0.0009757729755661012,smooth_l1
3,0.05708069801330566,0.055386378516753515,0.23840395450592042,0.22899149119853973,0.0009460482294732422,smooth_l1
4,0.04761335834860802,0.05044639353950819,0.21252572178840637,0.21564127345879872,0.0009054634122155991,smooth_l1
5,0.04484094366431236,0.04837270483374596,0.20473442554473878,0.21400193830331166,0.0008550178566873411,smooth_l1
6,0.04310545891523361,0.04665914754072825,0.1998017907142639,0.2049835721651713,0.0007959536998847743,smooth_l1
7,0.041898642182350156,0.0454186537861824,0.1963493400812149,0.20191983878612518,0.0007297252973710758,smooth_l1
8,0.040814679116010666,0.04441747998197874,0.1934826922416687,0.19909172495206198,0.0006579634122155991,smooth_l1
9,0.039914987087249755,0.04325950448711713,0.19080909013748168,0.19730194648106894,0.0005824350601949144,smooth_l1
10,0.03901790127158165,0.04261892944574356,0.18838970243930817,0.20100424627463023,0.0005050000000000001,smooth_l1
11,0.038399982750415805,0.04155002643664678,0.18715351581573486,0.19350009898344675,0.000427564939805086,smooth_l1
12,0.03782541528344154,0.0411923390130202,0.18567873299121856,0.1918979714314143,0.0003520365877844012,smooth_l1
13,0.03733982034027576,0.040571034799019495,0.1841941660642624,0.19142094592253367,0.00028027470262892445,smooth_l1
14,0.036857407838106156,0.0402635616560777,0.18307863116264345,0.1897958517074585,0.0002140463001152259,smooth_l1
15,0.0367332873493433,0.04038759231567383,0.18229743480682373,0.19194206873575848,0.00015498214331265904,smooth_l1
16,0.03657602727413178,0.03997184301416079,0.1823297256231308,0.188683789173762,0.00010453658778440108,smooth_l1
17,0.03630124621093273,0.03982416863242785,0.18093391954898835,0.18874483664830527,6.395177052675796e-05,smooth_l1
18,0.036225172355771065,0.03967219437162081,0.18117299318313598,0.18886796991030375,3.422702443389901e-05,smooth_l1
19,0.03611471831798554,0.039579975952704745,0.18060784101486205,0.18879145522912344,1.6094271405406862e-05,smooth_l1
20,0.03608041830360889,0.03957138458887736,0.1807781618833542,0.1885212069749832,1e-05,smooth_l1
