,MSE,MAE,RMSE,MAPE,R2,TrainTimeSec,InferTimeSec,TrainableParams,StoredParams,ModelSizeMB,Epochs,best_val_mae,MAE_TrainCost,ParamEff,ESP_Guarantee
ICS-DGRN,1714.81,26.9263,41.4102,2.22515e+06,0.931876,175.278,0.867171,119759,119759,0.456844,20,0.179557,4719.58,9318.16,1
STGCN,1888.79,28.1653,43.4602,2.68635e+06,0.924964,22.1423,0.117497,25740,25740,0.0981903,20,0.186327,623.645,4518.75,0
TGCN,3088.25,36.3868,55.5721,5.02397e+06,0.877314,14.6093,0.0911583,3564,3564,0.0135956,20,0.23935,531.584,2172.26,0
GWNet,1923.85,28.648,43.8617,2.66345e+06,0.923572,24.5691,0.15359,12876,12876,0.049118,20,0.189367,703.856,3250.76,0
AGCRN,1864.12,28.5696,43.1754,2.91164e+06,0.925945,9.51197,0.0681131,5252,5252,0.0200348,20,0.188521,271.753,2070.46,0
