epoch,train_loss,val_loss,train_mae,val_mae,lr,loss
1,0.23908082783222198,0.09243762155373891,0.5366917657852173,0.31563400665918984,0.0009939057285945933,smooth_l1
2,0.06352369859814644,0.058606496900320056,0.25321599245071413,0.2379518433411916,0.0009757729755661012,smooth_l1
3,0.05051479488611221,0.05289824018875758,0.21889386475086212,0.22546518941720325,0.0009460482294732422,smooth_l1
4,0.047082453072071075,0.04925357247392337,0.2094208186864853,0.211388019323349,0.0009054634122155991,smooth_l1
5,0.04473275333642959,0.04747138803203901,0.2030329066514969,0.20853428920110068,0.0008550178566873411,smooth_l1
6,0.04294820040464401,0.045609723031520846,0.19702186048030854,0.20398437996705374,0.0007959536998847743,smooth_l1
7,0.041732492595911025,0.044610233455896375,0.19439164519309998,0.19955562969048818,0.0007297252973710758,smooth_l1
8,0.040709098130464555,0.043486308256785074,0.19138358056545257,0.1976665457089742,0.0006579634122155991,smooth_l1
9,0.03984863519668579,0.04273623113830884,0.18900787055492402,0.1952124172449112,0.0005824350601949144,smooth_l1
10,0.03914195291697979,0.04207262972990672,0.18678192019462586,0.195722509821256,0.0005050000000000001,smooth_l1
11,0.03872227840125561,0.04199016163746516,0.18634606778621673,0.1925438404083252,0.000427564939805086,smooth_l1
12,0.03824737548828125,0.041370582381884256,0.1844270944595337,0.19132248679796854,0.0003520365877844012,smooth_l1
13,0.038060183599591256,0.041164864897727964,0.18381531834602355,0.19158091167608896,0.00028027470262892445,smooth_l1
14,0.037671073377132415,0.04080331102013588,0.1829867869615555,0.19071764409542083,0.0002140463001152259,smooth_l1
15,0.03763573542237282,0.04092385028799375,0.18248557567596435,0.1904136860370636,0.00015498214331265904,smooth_l1
16,0.037502175867557525,0.04060286233822505,0.18256038784980774,0.189860560297966,0.00010453658778440108,smooth_l1
17,0.03736596889793873,0.04066102703412374,0.18170496165752412,0.19019896944363912,6.395177052675796e-05,smooth_l1
18,0.03730556532740593,0.040515896926323576,0.18178930819034578,0.18936686476071676,3.422702443389901e-05,smooth_l1
19,0.03724306166172028,0.04046946679552396,0.18132761836051942,0.1894369884332021,1.6094271405406862e-05,smooth_l1
20,0.03721649050712585,0.040455812762180965,0.18156103610992433,0.1893744154771169,1e-05,smooth_l1
