epoch,train_loss,val_loss,train_mae,val_mae,lr,loss
1,0.38173657536506655,0.3548737374941508,0.7621712112426757,0.7262082839012146,0.0009939057285945933,smooth_l1
2,0.23368488311767577,0.145236257314682,0.5637372314929963,0.41571116050084433,0.0009757729755661012,smooth_l1
3,0.11653790831565856,0.1134023666381836,0.3547283434867859,0.3386282761891683,0.0009460482294732422,smooth_l1
4,0.09735970079898834,0.10231505205233891,0.31129188895225524,0.31784314393997193,0.0009054634122155991,smooth_l1
5,0.08960702687501908,0.0951253013809522,0.2977800726890564,0.3053492005666097,0.0008550178566873411,smooth_l1
6,0.08376650542020797,0.08921633134285609,0.2865622162818909,0.2941049313545227,0.0007959536998847743,smooth_l1
7,0.07899211823940278,0.08437347203493119,0.2765876489877701,0.2838093237082164,0.0007297252973710758,smooth_l1
8,0.07499525636434555,0.08036492894093196,0.2671820813417435,0.27657354474067686,0.0006579634122155991,smooth_l1
9,0.07168441444635391,0.0768565539518992,0.26058594048023226,0.2679251023133596,0.0005824350601949144,smooth_l1
10,0.06876464694738388,0.07385547429323197,0.25377940237522123,0.2614514470100403,0.0005050000000000001,smooth_l1
11,0.06633078202605247,0.07132102727890015,0.24873142600059509,0.2564916650454203,0.000427564939805086,smooth_l1
12,0.06423370003700256,0.06928003619114557,0.2432691967487335,0.2513515683015188,0.0003520365877844012,smooth_l1
13,0.06257651627063751,0.06767422884702683,0.23917314648628235,0.24749191919962565,0.00028027470262892445,smooth_l1
14,0.06129193931818008,0.06644679129123687,0.23602029502391816,0.24480111837387086,0.0002140463001152259,smooth_l1
15,0.06034498706459999,0.06557057599226633,0.2339000618457794,0.2425747223695119,0.00015498214331265904,smooth_l1
16,0.05965993702411652,0.06495483239491781,0.23190795361995697,0.2414039659500122,0.00010453658778440108,smooth_l1
17,0.05920232728123665,0.06456599374612172,0.23106262862682342,0.24032540480295816,6.395177052675796e-05,smooth_l1
18,0.05890647441148758,0.06432691782712936,0.23011989295482635,0.23970242381095885,3.422702443389901e-05,smooth_l1
19,0.058734732419252395,0.06419956386089325,0.22966139733791352,0.2394598619143168,1.6094271405406862e-05,smooth_l1
20,0.05864766880869866,0.0641386208931605,0.22955073535442352,0.2393499449888865,1e-05,smooth_l1
