epoch,train_loss,val_loss,train_mae,val_mae,lr,loss
1,0.14469032153487205,0.10708750089009603,0.41017626762390136,0.3840558155377706,0.0009939057285945933,smooth_l1
2,0.061155386567115784,0.04584783375263214,0.257437824010849,0.21215625007947286,0.0009757729755661012,smooth_l1
3,0.04727833479642868,0.039364965011676155,0.217009733915329,0.1902052233616511,0.0009460482294732422,smooth_l1
4,0.04347268231213093,0.03498910427093506,0.20777317821979524,0.1807111563285192,0.0009054634122155991,smooth_l1
5,0.041245640367269513,0.03392099760472775,0.20300838053226472,0.18191280166308085,0.0008550178566873411,smooth_l1
6,0.037819467410445215,0.033174750730395317,0.18979736387729645,0.18094095706939697,0.0007959536998847743,smooth_l1
7,0.03504227891564369,0.03142492560048898,0.18347738385200502,0.1676418826977412,0.0007297252973710758,smooth_l1
8,0.0354288575053215,0.03178065431614717,0.18331304252147673,0.16710828125476837,0.0006579634122155991,smooth_l1
9,0.033530081063508986,0.031110612899065016,0.17784915804862977,0.16529747764269512,0.0005824350601949144,smooth_l1
10,0.034424247965216634,0.031019828741749127,0.1804791933298111,0.16679383039474488,0.0005050000000000001,smooth_l1
11,0.033587511852383616,0.030610589111844697,0.178716601729393,0.16475382049878437,0.000427564939805086,smooth_l1
12,0.03539154760539532,0.031860400289297104,0.18501447439193724,0.16800773700078328,0.0003520365877844012,smooth_l1
13,0.03424601994454861,0.031549625396728516,0.18115457117557526,0.17078323066234588,0.00028027470262892445,smooth_l1
14,0.032688617408275604,0.02994407614072164,0.17506278574466705,0.16207573533058167,0.0002140463001152259,smooth_l1
15,0.0308554844558239,0.02971147415538629,0.16826272070407866,0.16019889016946157,0.00015498214331265904,smooth_l1
16,0.03169308163225651,0.029875390082597732,0.17283814430236816,0.1602042732636134,0.00010453658778440108,smooth_l1
17,0.03146366477012634,0.029785438850522043,0.17143432676792145,0.1615129522482554,6.395177052675796e-05,smooth_l1
18,0.03368553571403027,0.029814012721180914,0.17777254045009613,0.16041832347710927,3.422702443389901e-05,smooth_l1
19,0.03297441430389881,0.029840860764185587,0.175246964097023,0.16013358930746716,1.6094271405406862e-05,smooth_l1
20,0.03150440350174904,0.029763652086257933,0.17137910962104796,0.1615119824806849,1e-05,smooth_l1
