epoch,train_loss,val_loss,train_mae,val_mae,lr,loss
1,0.38994536399841306,0.34041488329569497,0.784310429096222,0.7215785368283589,0.0009939057285945933,smooth_l1
2,0.2553141242265701,0.17592996974786124,0.6033862602710723,0.46776937405268354,0.0009757729755661012,smooth_l1
3,0.15747829914093017,0.1451557453473409,0.4271137988567352,0.40391440987586974,0.0009460482294732422,smooth_l1
4,0.1378208041191101,0.13217697501182557,0.3920763158798218,0.38279814799626666,0.0009054634122155991,smooth_l1
5,0.12657159000635146,0.12206971526145935,0.37439420342445373,0.36643033027648925,0.0008550178566873411,smooth_l1
6,0.11715258032083511,0.11340176423390706,0.3578247618675232,0.3515086809794108,0.0007959536998847743,smooth_l1
7,0.10890631675720215,0.10556891202926635,0.34407145500183106,0.33664584914843243,0.0007297252973710758,smooth_l1
8,0.10143114179372788,0.0984683225552241,0.330051863193512,0.3237642538547516,0.0006579634122155991,smooth_l1
9,0.09482872247695923,0.09229397217432658,0.31763758897781375,0.31156921744346616,0.0005824350601949144,smooth_l1
10,0.0890664204955101,0.08733715415000916,0.3068819832801819,0.30182459791501365,0.0005050000000000001,smooth_l1
11,0.0844932246208191,0.0834352492292722,0.2971694266796112,0.29413246194521586,0.000427564939805086,smooth_l1
12,0.08108132928609849,0.08071163167556127,0.2906730103492737,0.28789475321769714,0.0003520365877844012,smooth_l1
13,0.07862075120210647,0.0786787861585617,0.28507928252220155,0.28370818893114724,0.00028027470262892445,smooth_l1
14,0.07683143079280853,0.07723759253819784,0.28099169611930847,0.2808836913108826,0.0002140463001152259,smooth_l1
15,0.07555913314223289,0.07621384064356486,0.2786526936292648,0.2787086033821106,0.00015498214331265904,smooth_l1
16,0.07468757718801498,0.07550351411104202,0.27670209407806395,0.27713503877321877,0.00010453658778440108,smooth_l1
17,0.07409072518348694,0.07502818644046784,0.2752702605724335,0.2760981925328573,6.395177052675796e-05,smooth_l1
18,0.07371430024504662,0.07474634826183318,0.27473256409168245,0.27565613905588787,3.422702443389901e-05,smooth_l1
19,0.07348604544997216,0.07459898551305134,0.27413212060928344,0.27527189016342163,1.6094271405406862e-05,smooth_l1
20,0.07337440386414527,0.07452891896168391,0.273843412399292,0.2750831154982249,1e-05,smooth_l1
